Country,Date,log_share,log_price,TAVG,share,q_imported
brazil,2012-04,-2.320104241826909,-2.386239357694633,22.69,0.0982633419201807,1136013.717391
brazil,2012-05,-2.4610989794046354,-2.203114409690432,25.8,0.0853411112891535,867888.841629
brazil,2012-06,-2.2603877264515484,-3.0370879681829788,26.52,0.1043100331541782,2213114.145833
brazil,2012-07,-2.285393339173928,-2.9054887604588693,28.33,0.1017340382527583,1548828.482633
brazil,2012-08,-1.90251134425104,-2.022359991028507,28.02,0.1491934721894531,991808.382464
brazil,2012-09,-1.7032167305325596,-2.4814419356853907,27.15,0.1820968245161739,1719694.760766
brazil,2012-10,-1.6705015728819077,-2.807668505126064,24.08,0.1881526696907265,2826619.419569
brazil,2012-11,-1.841199914786865,-2.213268142981271,18.15,0.1586269730155146,1246280.375114
brazil,2012-12,-1.7138288559212864,-2.521982111422436,18.34,0.1801746076243833,2144127.334994
brazil,2013-01,-2.156452429731337,-2.998725809070036,19.0,0.1157349715656208,2561871.523046
brazil,2013-02,-2.0601095387021124,-3.123733034044693,18.39,0.1274400095169942,3298929.090909
brazil,2013-03,-2.374500975155625,-3.3208984270189545,16.43,0.0930609173350967,3093373.240997
brazil,2013-04,-2.190844850395763,-2.781016663186433,23.46,0.1118222356382526,1985360.419355
brazil,2013-05,-2.1822098178106293,-2.7296525716166538,24.22,0.1127920052570601,2020176.748466
brazil,2013-06,-2.247872933499752,-3.3779783605571,27.6,0.1056236543254802,3340049.472141
brazil,2013-07,-2.120508669316238,-2.2138550835534767,27.68,0.1199705876311824,1047191.015554
brazil,2013-08,-2.3228399628678886,-2.6765224775070338,28.57,0.0979948882028036,1201489.331395
brazil,2013-09,-2.033052631119366,-2.318581998049808,27.35,0.1309352135561212,1030380.04065
brazil,2013-10,-1.825963929580816,-3.004375107310225,24.89,0.161062316548103,2939298.205645
brazil,2013-11,-2.097968222013949,-2.135672128795484,21.55,0.1227054854569507,842830.109983
brazil,2013-12,-2.2045463998814325,-2.168371560986099,20.01,0.1103005462997425,919517.22028
brazil,2014-01,-2.2055023949520267,-3.383119690903567,14.8,0.1101951499084384,3949668.259587
brazil,2014-02,-2.5436477839549587,-3.368221817738044,18.79,0.0785792362765869,2655315.362319
brazil,2014-03,-2.2768144727900115,-3.4561264793941096,19.44,0.1026105553594536,4194472.848101
brazil,2014-04,-2.46303545902244,-2.096842728815897,23.09,0.0851760098759357,865361.050489
brazil,2014-05,-2.236499989863607,-3.2369968055183933,25.6,0.1068317630472091,3526257.35369
brazil,2014-06,-2.143278545164596,-2.4528075411866146,27.54,0.1172697379422502,1545303.716609
brazil,2014-07,-1.8426771053228683,-2.759427882261965,28.38,0.1583928237363487,2643202.195893
brazil,2014-08,-1.670771837603486,-3.030745926951012,28.78,0.1881018255328388,3679508.509317
brazil,2014-09,-1.7700622962798982,-2.116088231753441,27.05,0.1703223780443712,1336814.680498
brazil,2014-10,-1.63788276930459,-2.872734785424188,23.94,0.1943911778715809,3549953.840708
brazil,2014-11,-1.9660995984681369,-3.266103498741617,18.49,0.1400018561189615,3420445.811518
brazil,2014-12,-1.8291885302532755,-2.8552676313644065,18.37,0.1605437913614909,3274258.13913
brazil,2015-01,-2.363711237669397,-2.7653783821573605,16.65,0.0940704567418965,2030336.587302
brazil,2015-02,-2.3298678512678586,-2.4022846705189105,15.62,0.0973086054487426,1308874.519337
brazil,2015-03,-2.018116284118629,-3.6091189516855207,22.74,0.1329055857906607,7198042.693727
brazil,2015-04,-2.216826255851992,-3.446630361384973,25.33,0.1089543539185148,4381794.890282
brazil,2015-05,-2.1289186244526466,-3.835611371981416,26.32,0.1189658711037134,6748243.75
brazil,2015-06,-2.2187582501199064,-2.462661883243461,28.34,0.1087440579420031,1494253.802817
brazil,2015-07,-2.189231598018754,-2.0807588971873368,28.63,0.1120027787173176,925322.788462
brazil,2015-08,-2.017253806718037,-2.114434039807396,28.23,0.1330202633010894,1041835.890638
brazil,2015-09,-1.8343015008092125,-2.329050631082866,27.66,0.1597250306168125,1590883.141684
brazil,2015-10,-1.833764055637348,-2.3380156006399444,24.52,0.1598108971355496,1709839.958549
brazil,2015-11,-1.934461090172052,-2.6365942461887384,23.75,0.1445021214572957,2225760.600559
brazil,2015-12,-2.121748269504246,-2.307633523860957,21.99,0.1198219642040448,1459802.994975
brazil,2016-01,-2.358602109919205,-2.430997556102305,15.01,0.0945523045858587,1483887.679181
brazil,2016-02,-2.5219905120688653,-2.7679153694257272,16.31,0.0802996102215786,1816008.853503
brazil,2016-03,-2.6584368118684765,-3.501095750700619,21.76,0.0700576494804939,3338186.15894
brazil,2016-04,-2.6035128010788284,-3.322000792661305,22.68,0.0740131276320223,2493288.587258
brazil,2016-05,-2.6878086977775,-2.681622018381088,25.24,0.0680298501197119,1364721.912409
brazil,2016-06,-2.477674554821445,-2.533143290949064,28.19,0.0839381924769268,1184002.732997
brazil,2016-07,-2.307955210377655,-3.105367313618595,29.55,0.0994644275920643,2251947.611607
brazil,2016-08,-2.152666888821865,-2.586808210482222,28.67,0.1161739213421163,1705150.265604
brazil,2016-09,-2.0985217329389245,-2.183793077828901,27.89,0.1226375854236345,1217577.300178
brazil,2016-10,-1.9525776534274943,-2.787031390003544,24.72,0.1419078105879996,2779635.616883
brazil,2016-11,-2.209400143235541,-2.4153535365213026,20.41,0.1097664729322259,1463662.900336
brazil,2016-12,-2.200548550156915,-2.6908018445638664,20.47,0.1107423939401179,2394603.40708
brazil,2017-01,-2.441097516922869,-2.6175315721797805,18.12,0.0870652434278048,2030987.986301
brazil,2017-02,-2.616564807781586,-2.573494273559944,20.03,0.0730533847043418,1414326.513761
brazil,2017-03,-2.6631189756192,-2.457072936628109,20.46,0.0697303948214439,1245315.54259
brazil,2017-04,-2.6291433990443283,-3.0090945967093248,23.54,0.072140231170289,2062698.62069
brazil,2017-05,-2.547513665843526,-3.1483176565596684,25.02,0.0782760446593397,2737503.100233
brazil,2017-06,-2.703028516702288,-2.495429156277308,26.51,0.0670022876126077,1122163.466667
brazil,2017-07,-2.422828306468414,-2.420654036298548,27.93,0.0886704751946039,1108140.348706
brazil,2017-08,-2.5802166086471376,-2.5034330553707185,28.39,0.0757575924958493,1138460.672372
brazil,2017-09,-2.2216661800928232,-2.521305942988587,27.2,0.1084282971641595,1693268.644279
brazil,2017-10,-2.0455306036589818,-2.8853726604066154,24.18,0.1293115585848135,2826963.422939
brazil,2017-11,-2.108516519440014,-2.572191020046476,21.07,0.1214179540707899,1956565.955497
brazil,2017-12,-2.1136347123421304,-2.780346374811253,17.99,0.1207981011765501,2779373.548387
brazil,2018-01,-2.573375924244384,-2.7252865350814703,14.45,0.0762776028628086,2029902.152672
brazil,2018-02,-2.5295122131855456,-2.945549639055632,22.11,0.0796978863840602,2502593.612167
brazil,2018-03,-2.865550011648776,-2.4997324488764217,18.38,0.0569517983636113,1191084.847747
brazil,2018-04,-2.4257241455064107,-3.3015249241223543,22.81,0.0884140712025437,3830780.298913
brazil,2018-05,-2.349631905923716,-3.0949839542787614,24.97,0.0954042735009529,3166364.15011
brazil,2018-06,-2.740221164062635,-3.2254111964233747,27.67,0.0645560678319896,2213867.355164
brazil,2018-07,-2.492222634424936,-2.8313656743364186,27.94,0.0827258926695707,1675435.942275
brazil,2018-08,-2.610517972044688,-2.490408534994385,28.24,0.0734964647878426,1154809.179735
brazil,2018-09,-2.2031878276710883,-2.4369197059519268,28.54,0.1104504993947207,1439107.643021
brazil,2018-10,-2.17718608396548,-2.325973646496326,25.61,0.1133600679745569,1585810.603889
brazil,2018-11,-2.078727904021104,-2.4225640783219125,20.98,0.1250892365448337,1860608.556933
brazil,2018-12,-2.240001856178469,-2.35062419284122,17.94,0.1064583067734525,1575176.652676
brazil,2019-01,-2.442960812652108,-2.6844631491621507,15.87,0.0869031661773775,2283783.997072
brazil,2019-02,-2.5920306220041245,-2.921161487129993,21.17,0.074867857306322,2297068.534323
brazil,2019-03,-2.8211411367115224,-2.207824154652387,20.13,0.0595379629739518,962577.179254
