DATE,TAVG,TMIN,TMAX,PRCP,TAVG_anom,TMIN_anom,TMAX_anom,PRCP_anom
2010-01-01,12.41,6.32,18.51,89.7,-3.308,-3.343,-3.2630000000000017,14.739999999999995
2010-02-01,12.58,7.31,17.85,110.5,-5.76,-4.905,-6.617000000000001,59.980000000000004
2010-03-01,16.05,10.27,21.84,225.3,-3.7479999999999976,-3.1999999999999993,-4.285,153.46
2010-04-01,21.74,15.81,27.67,120.3,-1.5440000000000005,-1.2539999999999996,-1.8350000000000009,59.330000000000005
2010-05-01,26.1,20.86,31.33,76.2,0.5470000000000006,1.1219999999999999,-0.03999999999999915,-24.58
2010-06-01,28.58,23.09,34.07,82.0,0.825999999999997,0.5259999999999998,1.1270000000000024,-104.44999999999999
2010-07-01,28.9,24.0,33.81,108.3,0.4519999999999982,0.5339999999999989,0.3790000000000049,-76.61
2010-08-01,28.82,24.27,33.37,142.6,0.33100000000000307,0.5079999999999991,0.15099999999999625,-60.31
2010-09-01,27.65,22.77,32.53,144.2,0.07900000000000063,-0.19399999999999906,0.35600000000000165,-27.78
2010-10-01,23.48,16.97,29.99,0.0,-1.0199999999999996,-2.464000000000002,0.42199999999999704,-68.92999999999999
2010-11-01,19.83,13.81,25.84,42.6,-0.6799999999999997,-1.158999999999999,-0.20599999999999952,6.439999999999998
2010-12-01,11.12,4.01,18.23,19.8,-7.354000000000001,-8.706,-5.998999999999999,-31.19
2011-01-01,15.22,8.87,21.56,150.4,-0.49799999999999933,-0.793000000000001,-0.21300000000000452,75.44
2011-02-01,18.95,12.38,25.53,6.4,0.6099999999999994,0.16500000000000092,1.0629999999999988,-44.12
2011-03-01,20.53,13.64,27.42,133.1,0.7320000000000029,0.1700000000000017,1.2950000000000017,61.25999999999999
2011-04-01,24.26,17.38,31.14,16.5,0.9760000000000026,0.31599999999999895,1.634999999999998,-44.46999999999999
2011-05-01,25.72,18.96,32.48,53.4,0.16699999999999804,-0.7779999999999987,1.1099999999999994,-47.38
2011-06-01,28.14,22.15,34.13,186.5,0.38599999999999923,-0.4140000000000015,1.1870000000000047,0.05000000000001137
2011-07-01,28.52,23.5,33.53,269.9,0.07199999999999918,0.03399999999999892,0.09900000000000375,84.98999999999998
2011-08-01,28.75,24.0,33.51,231.4,0.2610000000000028,0.23799999999999955,0.2909999999999968,28.49000000000001
2011-09-01,27.41,22.62,32.19,148.6,-0.1609999999999978,-0.34399999999999764,0.015999999999998238,-23.379999999999995
2011-10-01,22.31,17.5,27.13,225.5,-2.1900000000000013,-1.934000000000001,-2.4380000000000024,156.57
2011-11-01,20.34,14.98,25.7,3.4,-0.16999999999999815,0.011000000000001009,-0.3460000000000001,-32.760000000000005
2011-12-01,18.79,12.86,24.72,20.4,0.31599999999999895,0.14400000000000013,0.49099999999999966,-30.590000000000003
2012-01-01,15.65,8.35,22.94,3.3,-0.06799999999999962,-1.3130000000000006,1.166999999999998,-71.66000000000001
2012-02-01,19.45,13.55,25.35,79.9,1.1099999999999994,1.3350000000000009,0.8829999999999991,29.38000000000001
2012-03-01,22.06,15.9,28.22,20.6,2.2620000000000005,2.4300000000000015,2.094999999999999,-51.24
2012-04-01,22.69,16.11,29.27,42.5,-0.5939999999999976,-0.9540000000000006,-0.23500000000000298,-18.46999999999999
2012-05-01,25.8,19.96,31.65,91.9,0.2469999999999999,0.2220000000000013,0.28000000000000114,-8.879999999999995
2012-06-01,26.52,21.8,31.24,245.0,-1.2340000000000018,-0.7639999999999993,-1.7029999999999994,58.55000000000001
2012-07-01,28.33,23.0,33.67,83.3,-0.1180000000000021,-0.4660000000000011,0.23900000000000432,-101.61
2012-08-01,28.02,23.21,32.84,160.8,-0.46899999999999764,-0.5519999999999996,-0.3789999999999978,-42.109999999999985
2012-09-01,27.15,22.41,31.89,222.4,-0.4209999999999994,-0.5539999999999985,-0.2839999999999989,50.420000000000016
