DATE,TAVG,TMIN,TMAX,PRCP,TAVG_anom,TMIN_anom,TMAX_anom,PRCP_anom
2011-12-01,-0.8,-3.98,2.38,22.5,-0.7340000000000001,-0.9970000000000003,-0.46799999999999997,-29.310000000000002
2012-01-01,0.06,-3.92,4.04,46.4,0.08299999999999995,-0.8159999999999998,0.9849999999999999,-0.30000000000000426
2012-02-01,1.3,-2.64,5.23,38.4,0.24499999999999988,0.403,0.07399999999999984,0.18999999999999773
2012-03-01,4.7,0.02,9.37,103.2,-0.7560000000000002,-0.007000000000000003,-1.516,45.44
2012-04-01,9.7,3.63,15.78,50.9,0.6310000000000002,0.685,0.588000000000001,11.0
2012-05-01,12.72,6.02,19.42,20.5,-1.5549999999999997,-1.2140000000000004,-1.8939999999999984,-15.57
2012-06-01,15.85,9.78,21.91,71.8,-1.790000000000001,-0.9090000000000007,-2.678000000000001,28.14
2012-07-01,22.49,14.48,30.5,14.2,0.28200000000000003,0.7219999999999995,-0.1579999999999977,2.8499999999999996
2012-08-01,21.79,12.6,30.98,3.6,-0.14300000000000068,-0.7370000000000001,0.4499999999999993,-6.74
2012-09-01,17.19,8.09,26.28,0.0,0.6120000000000019,-0.8960000000000008,2.112000000000002,-18.27
2012-10-01,9.76,3.82,15.7,43.9,0.0009999999999994458,-0.0940000000000003,0.09299999999999997,-3.230000000000004
2012-11-01,5.0,1.48,8.52,80.3,1.4170000000000003,1.8170000000000002,1.0199999999999996,33.38999999999999
2012-12-01,1.26,-0.86,3.38,50.7,1.326,2.1229999999999998,0.532,-1.1099999999999994
2013-01-01,-2.01,-4.72,0.7,41.5,-1.9869999999999999,-1.6159999999999997,-2.3550000000000004,-5.200000000000003
2013-02-01,2.2,-1.51,5.91,15.3,1.145,1.5330000000000001,0.7539999999999996,-22.91
2013-03-01,5.86,0.17,11.55,25.5,0.4039999999999999,0.14300000000000002,0.6640000000000015,-32.260000000000005
2013-04-01,8.64,2.7,14.58,28.9,-0.4289999999999985,-0.24499999999999966,-0.6119999999999983,-11.0
2013-05-01,14.33,6.85,21.81,20.1,0.054999999999999716,-0.38400000000000034,0.49599999999999866,-15.969999999999999
2013-06-01,17.28,10.64,23.93,71.3,-0.35999999999999943,-0.04899999999999949,-0.6580000000000013,27.64
2013-07-01,23.18,13.89,32.47,0.0,0.9720000000000013,0.13199999999999967,1.8120000000000012,-11.35
2013-08-01,22.36,14.24,30.48,43.9,0.4269999999999996,0.9030000000000005,-0.05000000000000071,33.56
2013-09-01,17.68,11.19,24.16,50.9,1.1020000000000003,2.203999999999999,-0.007999999999999119,32.629999999999995
2013-10-01,8.18,1.61,14.75,4.5,-1.5790000000000006,-2.3040000000000003,-0.8569999999999993,-42.63
2013-11-01,2.81,-0.97,6.59,35.4,-0.7729999999999997,-0.6329999999999999,-0.9100000000000001,-11.510000000000005
2013-12-01,-2.08,-5.33,1.16,18.1,-2.0140000000000002,-2.3470000000000004,-1.688,-33.71
2014-01-01,0.26,-2.23,2.74,29.3,0.283,0.8740000000000001,-0.31499999999999995,-17.400000000000002
2014-02-01,-1.81,-5.55,1.93,38.0,-2.865,-2.5069999999999997,-3.226000000000001,-0.21000000000000085
2014-03-01,5.11,-0.41,10.64,71.5,-0.3460000000000001,-0.437,-0.24599999999999866,13.739999999999995
2014-04-01,8.81,2.18,15.43,30.2,-0.25899999999999856,-0.7649999999999997,0.23800000000000132,-9.7
2014-05-01,14.52,7.06,21.97,23.4,0.24499999999999922,-0.17400000000000038,0.6559999999999988,-12.670000000000002
2014-06-01,17.02,10.1,23.93,67.1,-0.620000000000001,-0.5890000000000004,-0.6580000000000013,23.439999999999998
2014-07-01,24.25,15.54,32.96,11.2,2.0420000000000016,1.7819999999999983,2.302000000000003,-0.15000000000000036
2014-08-01,22.45,14.24,30.66,12.3,0.5169999999999995,0.9030000000000005,0.129999999999999,1.9600000000000009
2014-09-01,17.24,8.89,25.6,7.4,0.661999999999999,-0.09600000000000009,1.4320000000000022,-10.87
2014-10-01,12.48,6.3,18.67,32.4,2.721,2.3859999999999997,3.0630000000000024,-14.730000000000004
2014-11-01,2.58,-1.62,6.77,38.2,-1.0029999999999997,-1.283,-0.7300000000000004,-8.71
2014-12-01,1.56,-1.82,4.93,50.1,1.6260000000000001,1.1629999999999996,2.082,-1.7100000000000009
2015-01-01,0.46,-2.25,3.16,47.6,0.483,0.8540000000000001,0.10499999999999998,0.8999999999999986
2015-02-01,5.01,-0.03,10.06,28.0,3.9549999999999996,3.0130000000000003,4.904,-10.21
2015-03-01,7.95,1.42,14.48,63.6,2.4939999999999998,1.393,3.594000000000001,5.839999999999996
2015-04-01,8.99,1.77,16.21,24.2,-0.07899999999999885,-1.1749999999999998,1.0180000000000025,-15.7
2015-05-01,16.27,8.71,23.83,31.2,1.9949999999999992,1.4760000000000009,2.5159999999999982,-4.870000000000001
2015-06-01,22.03,13.5,30.56,8.4,4.390000000000001,2.811,5.971999999999998,-35.26
2015-07-01,23.77,15.68,31.86,11.9,1.5620000000000012,1.9219999999999988,1.2020000000000017,0.5500000000000007
2015-08-01,22.51,13.85,31.17,5.4,0.5770000000000017,0.5129999999999999,0.6400000000000006,-4.9399999999999995
